row_number,event_type,health_score,status,description,is_accurate
1245,WARNING,77.82,HEALTHY,Critical tool wear (202min),false
1246,WARNING,79.67,HEALTHY,Critical tool wear (204min),false
1247,WARNING,79.22,HEALTHY,Critical tool wear (207min),false
1248,WARNING,79.81,HEALTHY,Critical tool wear (212min),false
1249,WARNING,79.50,HEALTHY,Critical tool wear (214min),false
1250,WARNING,79.24,HEALTHY,Critical tool wear (216min),false
1251,WARNING,78.89,HEALTHY,Critical tool wear (218min),false
1252,WARNING,76.91,HEALTHY,Critical tool wear (220min),false
1253,WARNING,78.15,HEALTHY,Critical tool wear (223min),false
1254,WARNING,93.43,HEALTHY,Multi-factor degradation detected,false
1264,WARNING,93.58,HEALTHY,Multi-factor degradation detected,false
1271,WARNING,90.04,HEALTHY,Multi-factor degradation detected,false
1301,WARNING,77.35,HEALTHY,Multi-factor degradation detected,false
1314,WARNING,81.30,HEALTHY,Multi-factor degradation detected,false
1321,WARNING,84.66,HEALTHY,Multi-factor degradation detected,false
1322,WARNING,81.98,HEALTHY,Multi-factor degradation detected,false
1323,WARNING,82.05,HEALTHY,Multi-factor degradation detected,false
1324,WARNING,80.95,HEALTHY,Multi-factor degradation detected,false
1325,FAILURE_CONFIRMED,71.75,HEALTHY,Multi-factor degradation detected,true
1326,WARNING,82.21,HEALTHY,Multi-factor degradation detected,false
1327,WARNING,79.81,HEALTHY,Critical tool wear (202min),false
1328,WARNING,76.83,HEALTHY,Critical tool wear (204min),false
1329,WARNING,77.06,HEALTHY,Critical tool wear (206min),false
1330,WARNING,78.25,HEALTHY,Critical tool wear (209min),false
1331,WARNING,77.30,HEALTHY,Critical tool wear (214min),false
1332,WARNING,74.81,HEALTHY,Critical tool wear (216min),false
1333,WARNING,69.58,WARNING,Critical tool wear (221min),false
1334,WARNING,77.49,HEALTHY,Critical tool wear (223min),false
1335,FAILURE_CONFIRMED,75.16,HEALTHY,Critical tool wear (226min),true
1336,FAILURE_CONFIRMED,74.23,HEALTHY,Critical tool wear (228min),true
1337,WARNING,74.76,HEALTHY,Critical tool wear (230min),false
1367,WARNING,89.14,HEALTHY,Multi-factor degradation detected,false
1374,WARNING,85.16,HEALTHY,Multi-factor degradation detected,false
1401,WARNING,80.62,HEALTHY,Multi-factor degradation detected,false
1403,WARNING,80.46,HEALTHY,Multi-factor degradation detected,false
1407,WARNING,83.34,HEALTHY,Multi-factor degradation detected,false
1408,WARNING,83.25,HEALTHY,Multi-factor degradation detected,false
1409,WARNING,82.56,HEALTHY,Multi-factor degradation detected,false
1410,WARNING,83.91,HEALTHY,Multi-factor degradation detected,false
1411,WARNING,81.29,HEALTHY,Multi-factor degradation detected,false
1412,WARNING,74.56,HEALTHY,Multi-factor degradation detected,false
1413,WARNING,80.54,HEALTHY,Multi-factor degradation detected,false
1414,WARNING,82.38,HEALTHY,Multi-factor degradation detected,false
1415,WARNING,81.85,HEALTHY,Multi-factor degradation detected,false
1416,WARNING,79.79,HEALTHY,Critical tool wear (203min),false
1417,WARNING,70.06,HEALTHY,Critical tool wear (205min),false
1418,WARNING,80.41,HEALTHY,Critical tool wear (208min),false
1419,WARNING,78.46,HEALTHY,Critical tool wear (210min),false
1420,FAILURE_CONFIRMED,77.46,HEALTHY,Critical tool wear (212min),true
1421,WARNING,79.31,HEALTHY,Critical tool wear (214min),false
1422,WARNING,77.22,HEALTHY,Critical tool wear (217min),false
1475,WARNING,77.83,HEALTHY,Multi-factor degradation detected,false
1482,WARNING,75.33,HEALTHY,Multi-factor degradation detected,false
1493,FAILURE_CONFIRMED,80.34,HEALTHY,Multi-factor degradation detected,true
1495,WARNING,84.02,HEALTHY,Multi-factor degradation detected,false
1496,WARNING,85.06,HEALTHY,Multi-factor degradation detected,false
1497,FAILURE_CONFIRMED,74.04,HEALTHY,Multi-factor degradation detected,true
1498,WARNING,82.62,HEALTHY,Multi-factor degradation detected,false
1499,WARNING,79.66,HEALTHY,Multi-factor degradation detected,false
1500,WARNING,72.19,HEALTHY,Rotational speed anomaly (2206rpm),false
1501,WARNING,71.84,HEALTHY,Rotational speed anomaly (2101rpm),false
1502,WARNING,80.56,HEALTHY,Critical tool wear (201min),false
1503,WARNING,80.04,HEALTHY,Critical tool wear (204min),false
1504,WARNING,77.27,HEALTHY,Critical tool wear (206min),false
1505,WARNING,79.49,HEALTHY,Critical tool wear (208min),false
1506,WARNING,80.64,HEALTHY,Critical tool wear (210min),false
1507,WARNING,78.91,HEALTHY,Critical tool wear (212min),false
1508,WARNING,73.65,HEALTHY,Critical tool wear (214min),false
1509,WARNING,79.38,HEALTHY,Critical tool wear (217min),false
1510,FAILURE_CONFIRMED,78.81,HEALTHY,Critical tool wear (220min),true
1519,WARNING,93.65,HEALTHY,Multi-factor degradation detected,false
1548,WARNING,84.46,HEALTHY,Multi-factor degradation detected,false
1554,WARNING,82.05,HEALTHY,Multi-factor degradation detected,false
1573,WARNING,80.83,HEALTHY,Multi-factor degradation detected,false
1582,WARNING,83.96,HEALTHY,Multi-factor degradation detected,false
1583,WARNING,84.99,HEALTHY,Multi-factor degradation detected,false
1584,FAILURE_CONFIRMED,76.47,HEALTHY,Multi-factor degradation detected,true
1585,WARNING,82.25,HEALTHY,Multi-factor degradation detected,false
1586,WARNING,81.48,HEALTHY,Multi-factor degradation detected,false
1587,WARNING,82.82,HEALTHY,Multi-factor degradation detected,false
1588,WARNING,82.31,HEALTHY,Multi-factor degradation detected,false
1589,WARNING,80.16,HEALTHY,Critical tool wear (202min),false
1590,WARNING,81.49,HEALTHY,Critical tool wear (204min),false
1591,WARNING,80.95,HEALTHY,Critical tool wear (207min),false
1592,WARNING,78.80,HEALTHY,Critical tool wear (209min),false
1593,WARNING,80.30,HEALTHY,Critical tool wear (211min),false
1594,WARNING,78.68,HEALTHY,Critical tool wear (213min),false
1595,WARNING,77.55,HEALTHY,Critical tool wear (215min),false
1596,FAILURE_CONFIRMED,76.81,HEALTHY,Critical tool wear (218min),true
1614,WARNING,90.20,HEALTHY,Multi-factor degradation detected,false
1619,WARNING,90.83,HEALTHY,Multi-factor degradation detected,false
1625,WARNING,89.70,HEALTHY,Multi-factor degradation detected,false
1627,WARNING,88.87,HEALTHY,Multi-factor degradation detected,false
1635,WARNING,85.76,HEALTHY,Multi-factor degradation detected,false
1636,WARNING,84.80,HEALTHY,Multi-factor degradation detected,false
1654,WARNING,76.33,HEALTHY,Multi-factor degradation detected,false
1655,WARNING,74.45,HEALTHY,Multi-factor degradation detected,false
1666,WARNING,85.31,HEALTHY,Multi-factor degradation detected,false
1667,WARNING,84.44,HEALTHY,Multi-factor degradation detected,false
1668,WARNING,80.16,HEALTHY,Multi-factor degradation detected,false
1669,WARNING,82.38,HEALTHY,Multi-factor degradation detected,false
1670,WARNING,81.69,HEALTHY,Multi-factor degradation detected,false
1671,WARNING,81.26,HEALTHY,Multi-factor degradation detected,false
1672,WARNING,82.74,HEALTHY,Multi-factor degradation detected,false
1673,WARNING,80.50,HEALTHY,Multi-factor degradation detected,false
1674,WARNING,82.00,HEALTHY,Multi-factor degradation detected,false
1675,WARNING,81.47,HEALTHY,Critical tool wear (203min),false
1676,WARNING,81.14,HEALTHY,Critical tool wear (205min),false
1677,WARNING,80.70,HEALTHY,Critical tool wear (207min),false
1678,WARNING,78.01,HEALTHY,Critical tool wear (212min),false
1679,WARNING,77.79,HEALTHY,Critical tool wear (215min),false
1680,WARNING,75.05,HEALTHY,Critical tool wear (217min),false
1681,WARNING,77.22,HEALTHY,Critical tool wear (219min),false
1682,WARNING,73.73,HEALTHY,Critical tool wear (222min),false
1683,FAILURE_CONFIRMED,77.47,HEALTHY,Critical tool wear (225min),true
1731,WARNING,81.95,HEALTHY,Multi-factor degradation detected,false
1755,WARNING,83.61,HEALTHY,Multi-factor degradation detected,false
1756,WARNING,83.05,HEALTHY,Multi-factor degradation detected,false
1757,WARNING,76.61,HEALTHY,Multi-factor degradation detected,false
1758,WARNING,77.35,HEALTHY,Multi-factor degradation detected,false
1759,WARNING,81.69,HEALTHY,Multi-factor degradation detected,false
1760,WARNING,82.77,HEALTHY,Multi-factor degradation detected,false
1761,WARNING,80.40,HEALTHY,Multi-factor degradation detected,false
1762,WARNING,73.07,HEALTHY,Critical tool wear (202min),false
1763,WARNING,79.48,HEALTHY,Critical tool wear (204min),false
1764,FAILURE_CONFIRMED,78.55,HEALTHY,Critical tool wear (209min),true
1765,WARNING,93.13,HEALTHY,Multi-factor degradation detected,false
1774,WARNING,93.12,HEALTHY,Multi-factor degradation detected,false
1790,FAILURE_CONFIRMED,88.10,HEALTHY,Multi-factor degradation detected,true
1806,WARNING,82.19,HEALTHY,Multi-factor degradation detected,false
1825,WARNING,82.46,HEALTHY,Multi-factor degradation detected,false
1829,WARNING,80.03,HEALTHY,Multi-factor degradation detected,false
1833,WARNING,82.69,HEALTHY,Multi-factor degradation detected,false
1834,FAILURE_CONFIRMED,76.59,HEALTHY,Multi-factor degradation detected,true
1835,WARNING,83.83,HEALTHY,Multi-factor degradation detected,false
1836,WARNING,83.51,HEALTHY,Multi-factor degradation detected,false
1837,WARNING,82.55,HEALTHY,Multi-factor degradation detected,false
1838,WARNING,82.20,HEALTHY,Multi-factor degradation detected,false
1839,WARNING,81.90,HEALTHY,Multi-factor degradation detected,false
1856,WARNING,89.71,HEALTHY,Multi-factor degradation detected,false
1869,WARNING,87.80,HEALTHY,Multi-factor degradation detected,false
1873,WARNING,86.26,HEALTHY,Multi-factor degradation detected,false
1874,WARNING,85.86,HEALTHY,Multi-factor degradation detected,false
1877,WARNING,81.65,HEALTHY,Multi-factor degradation detected,false
1909,WARNING,76.49,HEALTHY,Multi-factor degradation detected,false
1910,WARNING,83.49,HEALTHY,Multi-factor degradation detected,false
1911,WARNING,84.46,HEALTHY,Multi-factor degradation detected,false
1912,WARNING,77.32,HEALTHY,Multi-factor degradation detected,false
1913,WARNING,81.80,HEALTHY,Multi-factor degradation detected,false
1914,WARNING,82.58,HEALTHY,Multi-factor degradation detected,false
1915,WARNING,80.42,HEALTHY,Multi-factor degradation detected,false
1916,WARNING,81.66,HEALTHY,Critical tool wear (202min),false
